presto,ft,w,time
12,300,300,9/12/2023
12,511,511,9/11/2023
1023,425,425,9/10/2023
300,125,125,9/9/2023
511,1554,1554,9/8/2023
425,152,152,9/7/2023
125,300,300,9/6/2023
1554,300,511,9/5/2023
152,511,425,9/4/2023
1554,425,125,9/3/2023
152,125,1554,9/2/2023
1554,1554,152,9/1/2023
152,152,1554,8/31/2023
511,300,152,8/30/2023
425,511,1554,8/29/2023
125,425,152,8/28/2023
425,125,1554,8/27/2023
125,1554,152,8/26/2023
1554,152,425,8/25/2023
152,1554,300,8/24/2023
300,152,511,8/23/2023
511,1554,425,8/22/2023
425,152,125,8/21/2023
125,1554,300,8/20/2023
1554,152,511,8/19/2023
511,425,425,8/18/2023
425,300,125,8/17/2023
125,511,425,8/16/2023
425,425,125,8/15/2023
125,125,1554,8/14/2023
1554,300,152,8/13/2023
152,511,300,8/12/2023
300,425,511,8/11/2023
511,125,425,8/10/2023
425,425,125,8/9/2023
125,125,1554,8/8/2023
1554,1554,152,8/7/2023
125,152,1554,8/6/2023
1554,300,152,8/5/2023
152,511,1554,8/4/2023
300,425,152,8/3/2023
511,125,1554,8/2/2023
425,1554,152,8/1/2023
125,425,425,7/31/2023
1554,300,300,7/30/2023
152,511,511,7/29/2023
1554,425,425,7/28/2023
152,125,125,7/27/2023
1554,300,300,7/26/2023
152,511,511,7/25/2023
1554,425,425,7/24/2023
152,125,125,7/23/2023
425,425,1554,7/22/2023
300,125,152,7/21/2023
511,1554,1554,7/20/2023
425,152,152,7/19/2023
125,300,425,7/18/2023
300,511,300,7/17/2023
511,425,511,7/16/2023
425,125,425,7/15/2023
125,1554,125,7/14/2023
425,425,300,7/13/2023
125,300,511,7/12/2023
1554,511,425,7/11/2023
152,425,125,7/10/2023
300,125,1554,7/9/2023
511,300,261,7/8/2023
425,511,256,7/7/2023
125,425,2564,7/6/2023
1554,125,1254,7/5/2023
425,425,2689,7/4/2023
125,125,4862,7/3/2023
1554,1554,4867,7/2/2023
0,152,4685,7/1/2023
0,300,278,6/30/2023
1554,511,289,6/29/2023
261,425,300,6/28/2023
256,125,311,6/27/2023
2564,1554,322,6/26/2023
1254,1554,333,6/25/2023
2689,152,344,6/24/2023
4862,425,355,6/23/2023
4867,300,20,6/22/2023
511,511,20,6/21/2023
425,425,20,6/20/2023
125,125,10,6/19/2023
300,300,10,6/18/2023
511,511,10,6/17/2023
425,425,10,6/16/2023
125,125,10,6/15/2023
425,425,10,6/14/2023
125,125,10,6/13/2023
1554,1554,10,6/12/2023
511,152,10,6/11/2023
425,300,10,6/10/2023
125,511,92,6/9/2023
300,425,278,6/8/2023
511,125,289,6/7/2023
425,1554,300,6/6/2023
125,1114,311,6/5/2023
425,1125,322,6/4/2023
125,1136,333,6/3/2023
1554,1147,511,6/2/2023
152,1158,425,6/1/2023
125,1169,125,5/31/2023
1554,1180,300,5/30/2023
152,1191,511,5/29/2023
125,1202,425,5/28/2023
300,1213,125,5/27/2023
511,1224,425,5/26/2023
425,1235,125,5/25/2023
125,1246,1554,5/24/2023
425,1257,511,5/23/2023
125,1268,425,5/22/2023
1554,1279,125,5/21/2023
152,1290,300,5/20/2023
511,1301,511,5/19/2023
425,1312,425,5/18/2023
125,1323,125,5/17/2023
425,1334,425,5/16/2023
125,1345,125,5/15/2023
1554,1356,1554,5/14/2023
511,1367,152,5/13/2023
425,1378,10,5/12/2023
125,1389,511,5/11/2023
300,1400,425,5/10/2023
511,1411,125,5/9/2023
425,1422,300,5/8/2023
125,1433,511,5/7/2023
425,1444,425,5/6/2023
125,1455,125,5/5/2023
1554,1466,425,5/4/2023
152,1477,125,5/3/2023
1389,1488,1554,5/2/2023
1400,1499,511,5/1/2023
1411,1510,425,4/30/2023
1422,1521,125,4/29/2023
1433,1532,300,4/28/2023
1444,1543,511,4/27/2023
1455,1554,425,4/26/2023
1254,1565,125,4/25/2023
