presto,ft,w,time,act_run,sch_run,ideal_prod,good_out,availability,performance,quality,oee
12,300,300,9/12/2023,7,8, 500.00 , 9.60 ,88%,2%,80%,2%
12,511,511,9/11/2023,8,8, 500.00 , 9.60 ,100%,2%,80%,2%
221,425,425,9/10/2023,4,8, 500.00 , 176.80 ,50%,44%,80%,18%
300,125,125,9/9/2023,3,8, 500.00 , 240.00 ,38%,60%,80%,18%
511,1554,1554,9/8/2023,4,8, 500.00 , 408.80 ,50%,102%,80%,41%
425,152,152,9/7/2023,3,8, 500.00 , 340.00 ,38%,85%,80%,26%
125,300,300,9/6/2023,4,8, 500.00 , 100.00 ,50%,25%,80%,10%
236,300,511,9/5/2023,5,8, 500.00 , 188.80 ,63%,47%,80%,24%
214,511,425,9/4/2023,6,8, 500.00 , 171.20 ,75%,43%,80%,26%
264,425,125,9/3/2023,3,8, 500.00 , 211.20 ,38%,53%,80%,16%
152,125,1554,9/2/2023,2,8, 500.00 , 121.60 ,25%,30%,80%,6%
128,1554,152,9/1/2023,3,8, 500.00 , 102.40 ,38%,26%,80%,8%
152,152,1554,8/31/2023,1,8, 500.00 , 121.60 ,13%,30%,80%,3%
511,300,152,8/30/2023,3,8, 500.00 , 408.80 ,38%,102%,80%,31%
425,511,1554,8/29/2023,1,8, 500.00 , 340.00 ,13%,85%,80%,9%
125,425,152,8/28/2023,3,8, 500.00 , 100.00 ,38%,25%,80%,8%
425,125,1554,8/27/2023,1,8, 500.00 , 340.00 ,13%,85%,80%,9%
125,1554,152,8/26/2023,3,8, 500.00 , 100.00 ,38%,25%,80%,8%
258,152,425,8/25/2023,3,8, 500.00 , 206.40 ,38%,52%,80%,15%
589,1554,300,8/24/2023,4,8, 500.00 , 471.20 ,50%,118%,80%,47%
300,152,511,8/23/2023,5,8, 500.00 , 240.00 ,63%,60%,80%,30%
511,1554,425,8/22/2023,6,8, 500.00 , 408.80 ,75%,102%,80%,61%
425,152,125,8/21/2023,4,8, 500.00 , 340.00 ,50%,85%,80%,34%
125,1554,300,8/20/2023,3,8, 500.00 , 100.00 ,38%,25%,80%,8%
258,152,511,8/19/2023,2,8, 500.00 , 206.40 ,25%,52%,80%,10%
12,425,425,8/18/2023,3,8, 500.00 , 9.60 ,38%,2%,80%,1%
12,300,125,8/17/2023,4,8, 500.00 , 9.60 ,50%,2%,80%,1%
221,511,425,8/16/2023,3,8, 500.00 , 176.80 ,38%,44%,80%,13%
300,425,125,8/15/2023,7,8, 500.00 , 240.00 ,88%,60%,80%,42%
511,125,1554,8/14/2023,8,8, 500.00 , 408.80 ,100%,102%,80%,82%
425,300,152,8/13/2023,4,8, 500.00 , 340.00 ,50%,85%,80%,34%
125,511,300,8/12/2023,3,8, 500.00 , 100.00 ,38%,25%,80%,8%
236,425,511,8/11/2023,4,8, 500.00 , 188.80 ,50%,47%,80%,19%
214,125,425,8/10/2023,3,8, 500.00 , 171.20 ,38%,43%,80%,13%
264,425,125,8/9/2023,4,8, 500.00 , 211.20 ,50%,53%,80%,21%
152,125,1554,8/8/2023,5,8, 500.00 , 121.60 ,63%,30%,80%,15%
128,1554,152,8/7/2023,6,8, 500.00 , 102.40 ,75%,26%,80%,15%
152,152,1554,8/6/2023,3,8, 500.00 , 121.60 ,38%,30%,80%,9%
511,300,152,8/5/2023,2,8, 500.00 , 408.80 ,25%,102%,80%,20%
425,511,1554,8/4/2023,3,8, 500.00 , 340.00 ,38%,85%,80%,26%
125,425,152,8/3/2023,1,8, 500.00 , 100.00 ,13%,25%,80%,3%
425,125,1554,8/2/2023,3,8, 500.00 , 340.00 ,38%,85%,80%,26%
125,1554,152,8/1/2023,1,8, 500.00 , 100.00 ,13%,25%,80%,3%
