presto,ft,w,act_run,sch_run,ideal_prod,good_out,availability,performance,quality,oee,time
456,1565,125,0,8,500,0.8,0%,0%,80%,0%,4/25/2023
125,1554,425,3,8,500,100,38%,25%,80%,8%,4/26/2023
425,1543,511,4,8,500,340,50%,85%,80%,34%,4/27/2023
511,1532,300,3,8,500,408.8,38%,102%,80%,31%,4/28/2023
300,1521,125,2,8,500,240,25%,60%,80%,12%,4/29/2023
221,1510,12,3,8,500,176.8,38%,44%,80%,13%,4/30/2023
12,1499,12,4,8,500,9.6,50%,2%,80%,1%,5/1/2023
12,1488,258,6,8,500,9.6,75%,2%,80%,1%,5/2/2023
258,1477,125,5,8,500,206.4,63%,52%,80%,26%,5/3/2023
125,1466,425,4,8,500,100,50%,25%,80%,10%,5/4/2023
425,1455,511,3,8,500,340,38%,85%,80%,26%,5/5/2023
511,1444,300,3,8,500,408.8,38%,102%,80%,31%,5/6/2023
300,1433,589,1,8,500,240,13%,60%,80%,6%,5/7/2023
589,1422,258,3,8,500,471.2,38%,118%,80%,35%,5/8/2023
258,1411,125,1,8,500,206.4,13%,52%,80%,5%,5/9/2023
125,1400,425,3,8,500,100,38%,25%,80%,8%,5/10/2023
425,1389,125,1,8,500,340,13%,85%,80%,9%,5/11/2023
125,1378,425,3,8,500,100,38%,25%,80%,8%,5/12/2023
425,1367,511,2,8,500,340,25%,85%,80%,17%,5/13/2023
511,1356,152,3,8,500,408.8,38%,102%,80%,31%,5/14/2023
152,1345,128,6,8,500,121.6,75%,30%,80%,18%,5/15/2023
128,1334,152,5,8,500,102.4,63%,26%,80%,13%,5/16/2023
152,1323,264,4,8,500,121.6,50%,30%,80%,12%,5/17/2023
264,1312,425,3,8,500,211.2,38%,53%,80%,16%,5/18/2023
214,1301,511,4,8,500,171.2,50%,43%,80%,17%,5/19/2023
236,1290,300,3,8,500,188.8,38%,47%,80%,14%,5/20/2023
125,1279,125,4,8,500,100,50%,25%,80%,10%,5/21/2023
425,1268,12,8,8,500,340,100%,85%,80%,68%,5/22/2023
511,1257,12,7,8,500,408.8,88%,102%,80%,72%,5/23/2023
300,1246,258,3,8,500,240,38%,60%,80%,18%,5/24/2023
221,1235,125,4,8,500,176.8,50%,44%,80%,18%,5/25/2023
12,1224,425,3,8,500,9.6,38%,2%,80%,1%,5/26/2023
12,1213,511,2,8,500,9.6,25%,2%,80%,0%,5/27/2023
425,1202,300,3,8,500,340,38%,85%,80%,26%,5/28/2023
125,1191,589,6,8,500,100,75%,25%,80%,15%,5/29/2023
425,1180,258,5,8,500,340,63%,85%,80%,43%,5/30/2023
511,1169,125,4,8,500,408.8,50%,102%,80%,41%,5/31/2023
152,1158,425,3,8,500,121.6,38%,30%,80%,9%,6/1/2023
128,1147,125,4,8,500,102.4,50%,26%,80%,10%,6/2/2023
152,1136,425,3,8,500,121.6,38%,30%,80%,9%,6/3/2023
264,1125,511,4,8,500,211.2,50%,53%,80%,21%,6/4/2023
214,1114,152,8,8,500,171.2,100%,43%,80%,34%,6/5/2023
236,1554,128,7,8,500,188.8,88%,47%,80%,33%,6/6/2023
125,125,12,3,8,500,100,38%,25%,80%,8%,6/7/2023
425,425,12,4,8,500,340,50%,85%,80%,34%,6/8/2023
511,511,258,3,8,500,408.8,38%,102%,80%,31%,6/9/2023
300,300,125,2,8,500,240,25%,60%,80%,12%,6/10/2023
221,152,425,3,8,500,176.8,38%,44%,80%,13%,6/11/2023
12,1554,511,4,8,500,9.6,50%,2%,80%,1%,6/12/2023
12,125,300,6,8,500,9.6,75%,2%,80%,1%,6/13/2023
125,425,589,5,8,500,100,63%,25%,80%,13%,6/14/2023
425,125,258,4,8,500,340,50%,85%,80%,34%,6/15/2023
511,425,125,3,8,500,408.8,38%,102%,80%,31%,6/16/2023
152,511,425,3,8,500,121.6,38%,30%,80%,9%,6/17/2023
128,300,125,1,8,500,102.4,13%,26%,80%,3%,6/18/2023
152,125,425,3,8,500,121.6,38%,30%,80%,9%,6/19/2023
264,425,511,1,8,500,211.2,13%,53%,80%,5%,6/20/2023
214,511,152,3,8,500,171.2,38%,43%,80%,13%,6/21/2023
236,300,128,1,8,500,188.8,13%,47%,80%,5%,6/22/2023
125,425,152,3,8,500,100,38%,25%,80%,8%,6/23/2023
425,152,264,2,8,500,340,25%,85%,80%,17%,6/24/2023
511,1554,333,3,8,500,408.8,38%,102%,80%,31%,6/25/2023
300,1554,322,6,8,500,240,75%,60%,80%,36%,6/26/2023
221,125,311,5,8,500,176.8,63%,44%,80%,22%,6/27/2023
12,425,300,4,8,500,9.6,50%,2%,80%,1%,6/28/2023
12,511,289,3,8,500,9.6,38%,2%,80%,1%,6/29/2023
258,300,278,4,8,500,206.4,50%,52%,80%,21%,6/30/2023
125,152,511,3,8,500,100,38%,25%,80%,8%,7/1/2023
425,1554,300,4,8,500,340,50%,85%,80%,34%,7/2/2023
125,125,589,8,8,500,100,100%,25%,80%,20%,7/3/2023
425,425,258,7,8,500,340,88%,85%,80%,60%,7/4/2023
511,125,125,3,8,500,408.8,38%,102%,80%,31%,7/5/2023
152,425,425,4,8,500,121.6,50%,30%,80%,12%,7/6/2023
128,511,125,3,8,500,102.4,38%,26%,80%,8%,7/7/2023
152,300,425,2,8,500,121.6,25%,30%,80%,6%,7/8/2023
264,125,511,3,8,500,211.2,38%,53%,80%,16%,7/9/2023
214,511,152,6,8,500,171.2,75%,43%,80%,26%,7/10/2023
236,300,128,5,8,500,188.8,63%,47%,80%,24%,7/11/2023
125,589,152,4,8,500,100,50%,25%,80%,10%,7/12/2023
425,258,264,3,8,500,340,38%,85%,80%,26%,7/13/2023
511,125,333,4,8,500,408.8,50%,102%,80%,41%,7/14/2023
300,425,322,3,8,500,240,38%,60%,80%,18%,7/15/2023
221,125,311,4,8,500,176.8,50%,44%,80%,18%,7/16/2023
