presto,ft,w,act_run,sch_run,ideal_prod,good_out,availability,performance,quality,oee,obj,time,message,count,PrestoOk,PrestoNGst4,PrestoNGst7,PrestoTotal,Part I.D,Minimum weld width (mm),Weld Intensity Avg,Membrane Intensity,Average Body intensity,,Weld width LL,Weld width UL,Weld Intensity Avg LL,Weld Intensity Avg UL,Membrane Intensity LL,Membrane Intensity UL,Average Body intensity LL,Average Body intensity UL,,VS Defects,VS Defects count
456,1565,125,8,8,500,410.4,100,90,90,82,100,4/25/2023,Guard Door Open,369,342,68.4,45.6,456,DA0008-0006-3/8,3.14,156.188,253.491,148.475,,1,2.479,30,192.5,250,254.99,145,180,,Defects result,67
125,1554,425,3,8,500,112.5,38,25,90,8,100,4/26/2023,Stn.4 Consecutive Inspection Failure,87,93.75,18.75,12.5,125,DA0008-0007-3/8,2.388,164.97,252.511,152.555,,1,2.479,30,192.5,250,254.99,145,180,,Seal Present (1 ok 0 NG),1
425,1543,511,4,8,500,382.5,50,85,90,38,100,4/27/2023,Stn.3 Heater Not At Temperature,85,318.75,63.75,42.5,425,DA0008-0008-3/8,2.532,163.955,252.071,150.406,,1,2.479,30,192.5,250,254.99,145,180,,Membrane Present,0
511,1532,300,3,8,500,459.9,38,102,90,34,100,4/28/2023,Stn.3 Heater Controller Switch Not On,56,383.25,76.65,51.1,511,DA0008-0009-3/8,2.493,167.074,252.539,152.892,,1,2.479,30,192.5,250,254.99,145,180,,Curled Membrane ok,2
300,1521,125,2,8,500,270,25,60,90,14,100,4/29/2023,Stn.3 Sequence Fault,42,225,45,30,300,DA0008-0010-3/8,2.418,177.754,253.083,157.765,,1,2.479,30,192.5,250,254.99,145,180,,Weld ring bunch check,1
221,1510,12,3,8,500,198.9,38,44,90,15,100,4/30/2023,Stn.3 Weld Head Not In Position,40,165.75,33.15,22.1,221,DA0008-0013-3/8,2.144,168.757,253.11,152.312,,1,2.479,30,192.5,250,254.99,145,180,,Top Lug slot check OK,0
12,1499,12,4,8,500,10.8,50,2,90,1,100,5/1/2023,Stn.3 Heater Comms Failure,38,9,1.8,1.2,12,DA0008-0014-3/8,2.084,173.777,252.852,152.552,,1,2.479,30,192.5,250,254.99,145,180,,Bottom Lug slot check ok,6
12,1488,258,6,8,500,10.8,75,2,90,2,100,5/2/2023,Stn.3 Feed Timeout. Stop Sensor Not Seen,24,9,1.8,1.2,12,DA0008-0015-3/8,2.165,171.287,253.168,154.413,,1,2.479,30,192.5,250,254.99,145,180,,Top lug check ok,8
258,1477,125,5,8,500,232.2,63,52,90,29,100,5/3/2023,Emergency Stop Pressed,20,193.5,38.7,25.8,258,DA0008-0016-3/8,2.129,170.072,252.265,152.905,,1,2.479,30,192.5,250,254.99,145,180,,Bottom Lug check Ok,1
125,1466,425,4,8,500,112.5,50,25,90,11,100,5/4/2023,Stn.2 Sequence Fault,18,93.75,18.75,12.5,125,DA0008-0017-3/8,2.124,178.166,251.955,154.18,,1,2.479,30,192.5,250,254.99,145,180,,Tab slot clear,0
425,1455,511,3,8,500,382.5,38,85,90,29,100,5/5/2023,Stn.6 Heater Not At Temperature,18,318.75,63.75,42.5,425,DA0008-0018-3/8,2.21,172.48,251.284,150.768,,1,2.479,30,192.5,250,254.99,145,180,,Membrane End to center Pass/Fail,1
511,1444,300,3,8,500,459.9,38,102,90,34,100,5/6/2023,Stn.9 Sequence Fault,16,383.25,76.65,51.1,511,DA0008-0019-3/8,2.25,169.278,252.037,150.987,,1,2.479,30,192.5,250,254.99,145,180,,Membrane y pos pass/fail,0
300,1433,589,1,8,500,270,13,60,90,7,100,5/7/2023,Stn.7 Inspection System Not Ready Fault,16,225,45,30,300,DA0008-0020-3/8,2.236,168.08,252.367,153.023,,1,2.479,30,192.5,250,254.99,145,180,,Weld intensity Result,0
589,1422,258,3,8,500,530.1,38,118,90,40,100,5/8/2023,Stn.6 Heater Comms Failure,16,441.75,88.35,58.9,589,DA0008-0021-3/8,2.262,168.08,252.338,153.532,,1,2.479,30,192.5,250,254.99,145,180,,Weld Width Result,205
258,1411,125,1,8,500,232.2,13,52,90,6,100,5/9/2023,Stn.8 Vacuum Sense Failure,15,193.5,38.7,25.8,258,DA0008-0022-3/8,2.338,166.65,252.104,152.297,,1,2.479,30,192.5,250,254.99,145,180,,Body intensity Result,0
125,1400,425,3,8,500,112.5,38,25,90,8,100,5/10/2023,Stn.9 Parts Detected At Assy Position Fault,13,93.75,18.75,12.5,125,DA0008-0023-3/8,2.324,166.972,252.083,153.473,,1,2.479,30,192.5,250,254.99,145,180,,Membrane intensity Result,1
425,1389,125,1,8,500,382.5,13,85,90,10,100,5/11/2023,Stn.2 Part Detected On Table Fault,12,318.75,63.75,42.5,425,DA0008-0024-3/8,2.314,168.243,252.772,153.046,,1,2.479,30,192.5,250,254.99,145,180,,,
125,1378,425,3,8,500,112.5,38,25,90,8,100,5/12/2023,"Stn.7 Laser ""Ready"" Input Not On",12,93.75,18.75,12.5,125,DA0008-0025-3/8,2.34,168.834,252.042,151.584,,1,2.479,30,192.5,250,254.99,145,180,,,
425,1367,511,2,8,500,382.5,25,85,90,19,100,5/13/2023,Stn.8 Sequence Fault,12,318.75,63.75,42.5,425,DA0008-0026-3/8,2.332,169.027,252.329,151.749,,1,2.479,30,192.5,250,254.99,145,180,,,
511,1356,152,3,8,500,459.9,38,102,90,34,100,5/14/2023,Stn.3 Feed Stop Sensor Not Seen,10,383.25,76.65,51.1,511,DA0008-0027-3/8,2.387,165.595,252.246,151.041,,1,2.479,30,192.5,250,254.99,145,180,,,
152,1345,128,6,8,500,136.8,75,30,90,21,100,5/15/2023,"Stn.7 Laser ""Error Status"" Signal On",9,114,22.8,15.2,152,DA0008-0028-3/8,2.394,166.265,252.168,152.24,,1,2.479,30,192.5,250,254.99,145,180,,,
128,1334,152,5,8,500,115.2,63,26,90,14,100,5/16/2023,Stn.9 Body Not at Assy Position Fault,9,96,19.2,12.8,128,DA0008-0029-3/8,2.368,165.912,251.883,151.253,,1,2.479,30,192.5,250,254.99,145,180,,,
152,1323,264,4,8,500,136.8,50,30,90,14,100,5/17/2023,Stn.2 P&P Stripper Cylinder Fault,6,114,22.8,15.2,152,DA0008-0030-3/8,2.381,166.044,252.87,153.383,,1,2.479,30,192.5,250,254.99,145,180,,,
264,1312,425,3,8,500,237.6,38,53,90,18,100,5/18/2023,Stn.3 Weld Press Extend Failure,6,198,39.6,26.4,264,DA0008-0031-3/8,2.4,167.073,252.727,151.322,,1,2.479,30,192.5,250,254.99,145,180,,,
214,1301,511,4,8,500,192.6,50,43,90,19,100,5/19/2023,Stn.4 Vision System Error Register,5,160.5,32.1,21.4,214,DA0008-0032-3/8,2.461,165.288,252.373,152.999,,1,2.479,30,192.5,250,254.99,145,180,,,
236,1290,300,3,8,500,212.4,38,47,90,16,100,5/20/2023,Stn.7 Sequence Fault,4,177,35.4,23.6,236,DA0008-0033-3/8,2.388,164.555,252.085,150.905,,1,2.479,30,192.5,250,254.99,145,180,,,
125,1279,125,4,8,500,112.5,50,25,90,11,100,5/21/2023,Stn.10 Sequence Fault,4,93.75,18.75,12.5,125,DA0008-0034-3/8,2.428,165.441,252.435,151.15,,1,2.479,30,192.5,250,254.99,145,180,,,
425,1268,12,8,8,500,382.5,100,85,90,77,100,5/22/2023,Stn.4 Sequence Fault,4,318.75,63.75,42.5,425,DA0008-0035-3/8,2.418,168.018,252.157,151.617,,1,2.479,30,192.5,250,254.99,145,180,,,
511,1257,12,7,8,500,459.9,88,102,90,80,100,5/23/2023,Stn.3 Fixed Feed Stop Sensor Not Off After Membrane Transfer,3,383.25,76.65,51.1,511,DA0008-0036-3/8,2.352,166.078,252.051,152.305,,1,2.479,30,192.5,250,254.99,145,180,,,
300,1246,258,3,8,500,270,38,60,90,20,100,5/24/2023,Stn.3 Heater Over Temperature,3,225,45,30,300,DA0008-0037-3/8,2.441,167.129,252.093,151.359,,1,2.479,30,192.5,250,254.99,145,180,,,
221,1235,125,4,8,500,198.9,50,44,90,20,100,5/25/2023,Stn.9 Clamp Cylinder Fault,3,165.75,33.15,22.1,221,DA0008-0038-3/8,2.475,165.169,252.141,150.885,,1,2.479,30,192.5,250,254.99,145,180,,,
12,1224,425,3,8,500,10.8,38,2,90,1,100,5/26/2023,Stn.7 Rotate Motor Fault Signal On,3,9,1.8,1.2,12,DA0008-0039-3/8,2.424,165.752,252.452,153.018,,1,2.479,30,192.5,250,254.99,145,180,,,
12,1213,511,2,8,500,10.8,25,2,90,1,100,5/27/2023,Stn.9 Pre Clamp Cylinder Fault,3,9,1.8,1.2,12,DA0008-0040-3/8,2.477,0,251.704,152.042,,1,2.479,30,192.5,250,254.99,145,180,,,
425,1202,300,3,8,500,382.5,38,85,90,29,100,5/28/2023,Stn.4 Inspection Not Started Fault,3,318.75,63.75,42.5,425,DA0008-0041-3/8,2.447,167.289,251.652,153.057,,1,2.479,30,192.5,250,254.99,145,180,,,
125,1191,589,6,8,500,112.5,75,25,90,17,100,5/29/2023,Stn.2 Part Not Placed To Table Fault,3,93.75,18.75,12.5,125,DA0008-0042-3/8,2.438,168.748,252.582,151.502,,1,2.479,30,192.5,250,254.99,145,180,,,
425,1180,258,5,8,500,382.5,63,85,90,48,100,5/30/2023,Stn.9 Infeed Part Sense Fault,3,318.75,63.75,42.5,425,DA0008-0043-3/8,2.477,167.592,252.474,153.975,,1,2.479,30,192.5,250,254.99,145,180,,,
511,1169,125,4,8,500,459.9,50,102,90,46,100,5/31/2023,Stn.3 Membrane Reel Empty Fault,2,383.25,76.65,51.1,511,DA0008-0044-3/8,2.484,167.211,252.021,151.021,,1,2.479,30,192.5,250,254.99,145,180,,,
152,1158,425,3,8,500,136.8,38,30,90,10,100,6/1/2023,Stn.5 Sequence Fault,2,114,22.8,15.2,152,DA0008-0045-3/8,2.545,165.454,251.894,150.666,,1,2.479,30,192.5,250,254.99,145,180,,,
128,1147,125,4,8,500,115.2,50,26,90,12,100,6/2/2023,Stn.6 Sequence Fault,2,96,19.2,12.8,128,DA0008-0046-3/8,2.513,172.214,251.723,153.926,,1,2.479,30,192.5,250,254.99,145,180,,,
152,1136,425,3,8,500,136.8,38,30,90,10,100,6/3/2023,Stn.1 Sequence Fault,2,114,22.8,15.2,152,DA0008-0047-3/8,2.421,171.992,251.908,153.759,,1,2.479,30,192.5,250,254.99,145,180,,,
264,1125,511,4,8,500,237.6,50,53,90,24,100,6/4/2023,Index Table Not Stopped On Index,2,198,39.6,26.4,264,DA0008-0048-3/8,2.323,174.624,251.999,152.098,,1,2.479,30,192.5,250,254.99,145,180,,,
214,1114,152,8,8,500,192.6,100,43,90,39,100,6/5/2023,,,160.5,32.1,21.4,214,DA0008-0049-3/8,2.322,170.849,251.247,151.729,,1,2.479,30,192.5,250,254.99,145,180,,,
236,1554,128,7,8,500,212.4,88,47,90,37,100,6/6/2023,,,177,35.4,23.6,236,DA0008-0050-3/8,2.347,177.54,251.172,155.696,,1,2.479,30,192.5,250,254.99,145,180,,,
125,125,12,3,8,500,112.5,38,25,90,8,100,6/7/2023,,,93.75,18.75,12.5,125,DA0008-0051-3/8,2.427,165.691,252.62,153.015,,1,2.479,30,192.5,250,254.99,145,180,,,
425,425,12,4,8,500,382.5,50,85,90,38,100,6/8/2023,,,318.75,63.75,42.5,425,DA0008-0052-3/8,2.532,166.506,252.807,151.508,,1,2.479,30,192.5,250,254.99,145,180,,,
511,511,258,3,8,500,459.9,38,102,90,34,100,6/9/2023,,,383.25,76.65,51.1,511,DA0008-0053-3/8,2.498,165.781,251.873,151.905,,1,2.479,30,192.5,250,254.99,145,180,,,
300,300,125,2,8,500,270,25,60,90,14,100,6/10/2023,,,225,45,30,300,DA0008-0054-3/8,2.457,177.544,252.071,156.883,,1,2.479,30,192.5,250,254.99,145,180,,,
221,152,425,3,8,500,198.9,38,44,90,15,100,6/11/2023,,,165.75,33.15,22.1,221,DA0008-0057-3/8,2.383,167.389,252.168,151.381,,1,2.479,30,192.5,250,254.99,145,180,,,
12,1554,511,4,8,500,10.8,50,2,90,1,100,6/12/2023,,,9,1.8,1.2,12,DA0008-0058-3/8,2.429,165.879,252.867,151.396,,1,2.479,30,192.5,250,254.99,145,180,,,
12,125,300,6,8,500,10.8,75,2,90,2,100,6/13/2023,,,9,1.8,1.2,12,DA0008-0059-3/8,2.439,166.503,253.252,153.462,,1,2.479,30,192.5,250,254.99,145,180,,,
125,425,589,5,8,500,112.5,63,25,90,14,100,6/14/2023,,,93.75,18.75,12.5,125,DA0008-0060-3/8,2.496,164.973,252.757,153.1,,1,2.479,30,192.5,250,254.99,145,180,,,
425,125,258,4,8,500,382.5,50,85,90,38,100,6/15/2023,,,318.75,63.75,42.5,425,DA0008-0061-3/8,2.537,165.67,252.653,151.368,,1,2.479,30,192.5,250,254.99,145,180,,,
511,425,125,3,8,500,459.9,38,102,90,34,100,6/16/2023,,,383.25,76.65,51.1,511,DA0008-0062-3/8,2.543,164.806,252.406,153.025,,1,2.479,30,192.5,250,254.99,145,180,,,
152,511,425,3,8,500,136.8,38,30,90,10,100,6/17/2023,,,114,22.8,15.2,152,DA0008-0063-3/8,2.53,172.712,251.656,152.404,,1,2.479,30,192.5,250,254.99,145,180,,,
128,300,125,1,8,500,115.2,13,26,90,3,100,6/18/2023,,,96,19.2,12.8,128,DA0008-0064-3/8,2.454,178.505,252.918,152.413,,1,2.479,30,192.5,250,254.99,145,180,,,
152,125,425,3,8,500,136.8,38,30,90,10,100,6/19/2023,,,114,22.8,15.2,152,DA0008-0065-3/8,2.613,167.979,252.287,152.015,,1,2.479,30,192.5,250,254.99,145,180,,,
264,425,511,1,8,500,237.6,13,53,90,6,100,6/20/2023,,,198,39.6,26.4,264,DA0008-0066-3/8,2.629,164.651,251.81,151.43,,1,2.479,30,192.5,250,254.99,145,180,,,
214,511,152,3,8,500,192.6,38,43,90,14,100,6/21/2023,,,160.5,32.1,21.4,214,DA0008-0067-3/8,2.627,171.876,252.589,153.59,,1,2.479,30,192.5,250,254.99,145,180,,,
236,300,128,1,8,500,212.4,13,47,90,5,100,6/22/2023,,,177,35.4,23.6,236,DA0008-0068-3/8,2.594,163.765,251.376,151.928,,1,2.479,30,192.5,250,254.99,145,180,,,
125,425,152,3,8,500,112.5,38,25,90,8,100,6/23/2023,,,93.75,18.75,12.5,125,DA0008-0069-3/8,2.619,172.096,251.675,155.94,,1,2.479,30,192.5,250,254.99,145,180,,,
425,152,264,2,8,500,382.5,25,85,90,19,100,6/24/2023,,,318.75,63.75,42.5,425,DA0008-0070-3/8,2.543,165.948,251.894,153.719,,1,2.479,30,192.5,250,254.99,145,180,,,
511,1554,333,3,8,500,459.9,38,102,90,34,100,6/25/2023,,,383.25,76.65,51.1,511,DA0008-0071-3/8,2.542,156.37,252.427,151.14,,1,2.479,30,192.5,250,254.99,145,180,,,
300,1554,322,6,8,500,270,75,60,90,41,100,6/26/2023,,,225,45,30,300,DA0008-0072-3/8,2.512,167.341,251.744,152.143,,1,2.479,30,192.5,250,254.99,145,180,,,
221,125,311,5,8,500,198.9,63,44,90,25,100,6/27/2023,,,165.75,33.15,22.1,221,DA0008-0073-3/8,2.459,162.728,252.854,151.62,,1,2.479,30,192.5,250,254.99,145,180,,,
12,425,300,4,8,500,10.8,50,2,90,1,100,6/28/2023,,,9,1.8,1.2,12,DA0008-0074-3/8,2.494,163.424,252.282,152.512,,1,2.479,30,192.5,250,254.99,145,180,,,
12,511,289,3,8,500,10.8,38,2,90,1,100,6/29/2023,,,9,1.8,1.2,12,DA0008-0075-3/8,2.499,164.575,252.411,152.527,,1,2.479,30,192.5,250,254.99,145,180,,,
258,300,278,4,8,500,232.2,50,52,90,23,100,6/30/2023,,,193.5,38.7,25.8,258,DA0008-0076-3/8,2.479,174.31,251.5,154.572,,1,2.479,30,192.5,250,254.99,145,180,,,
125,152,511,3,8,500,112.5,38,25,90,8,100,7/1/2023,,,93.75,18.75,12.5,125,DA0008-0077-3/8,2.258,172.611,251.445,153.419,,1,2.479,30,192.5,250,254.99,145,180,,,
425,1554,300,4,8,500,382.5,50,85,90,38,100,7/2/2023,,,318.75,63.75,42.5,425,DA0008-0078-3/8,2.255,172.448,252.423,151.848,,1,2.479,30,192.5,250,254.99,145,180,,,
125,125,589,8,8,500,112.5,100,25,90,23,100,7/3/2023,,,93.75,18.75,12.5,125,DA0008-0079-3/8,2.365,168.148,252.514,151.724,,1,2.479,30,192.5,250,254.99,145,180,,,
425,425,258,7,8,500,382.5,88,85,90,67,100,7/4/2023,,,318.75,63.75,42.5,425,DA0008-0080-3/8,2.298,168.186,251.856,153.682,,1,2.479,30,192.5,250,254.99,145,180,,,
511,125,125,3,8,500,459.9,38,102,90,34,100,7/5/2023,,,383.25,76.65,51.1,511,DA0008-0081-3/8,2.363,176.211,252.282,155.115,,1,2.479,30,192.5,250,254.99,145,180,,,
152,425,425,4,8,500,136.8,50,30,90,14,100,7/6/2023,,,114,22.8,15.2,152,DA0008-0082-3/8,1.823,180.814,252.439,155.124,,1,2.479,30,192.5,250,254.99,145,180,,,
128,511,125,3,8,500,115.2,38,26,90,9,100,7/7/2023,,,96,19.2,12.8,128,DA0008-0083-3/8,1.997,176.174,251.469,154.072,,1,2.479,30,192.5,250,254.99,145,180,,,
152,300,425,2,8,500,136.8,25,30,90,7,100,7/8/2023,,,114,22.8,15.2,152,DA0008-0084-3/8,1.951,179.313,251.74,152.909,,1,2.479,30,192.5,250,254.99,145,180,,,
264,125,511,3,8,500,237.6,38,53,90,18,100,7/9/2023,,,198,39.6,26.4,264,DA0008-0085-3/8,2.127,184.416,252.615,158.378,,1,2.479,30,192.5,250,254.99,145,180,,,
214,511,152,6,8,500,192.6,75,43,90,29,100,7/10/2023,,,160.5,32.1,21.4,214,DA0008-0088-3/8,1.939,173.324,252.624,151.216,,1,2.479,30,192.5,250,254.99,145,180,,,
236,300,128,5,8,500,212.4,63,47,90,27,100,7/11/2023,,,177,35.4,23.6,236,DA0008-0089-3/8,1.901,0,252.113,153.175,,1,2.479,30,192.5,250,254.99,145,180,,,
125,589,152,4,8,500,112.5,50,25,90,11,100,7/12/2023,,,93.75,18.75,12.5,125,DA0008-0090-3/8,2.03,170.159,252.248,151.597,,1,2.479,30,192.5,250,254.99,145,180,,,
425,258,264,3,8,500,382.5,38,85,90,29,100,7/13/2023,,,318.75,63.75,42.5,425,DA0008-0091-3/8,1.959,174.761,252.691,153.047,,1,2.479,30,192.5,250,254.99,145,180,,,
511,125,333,4,8,500,459.9,50,102,90,46,100,7/14/2023,,,383.25,76.65,51.1,511,DA0008-0092-3/8,2.119,168.762,251.701,151.299,,1,2.479,30,192.5,250,254.99,145,180,,,
300,425,322,3,8,500,270,38,60,90,20,100,7/15/2023,,,225,45,30,300,DA0008-0093-3/8,2.044,171.717,252.632,151.499,,1,2.479,30,192.5,250,254.99,145,180,,,
221,125,311,4,8,500,198.9,50,44,90,20,100,7/16/2023,,,165.75,33.15,22.1,221,DA0008-0094-3/8,2.034,178.679,251.961,155.21,,1,2.479,30,192.5,250,254.99,145,180,,,
12,425,511,8,8,500,10.8,100,2,90,2,100,7/17/2023,,,9,1.8,1.2,12,DA0008-0095-3/8,1.988,172.71,251.884,152.757,,1,2.479,30,192.5,250,254.99,145,180,,,
12,511,300,7,8,500,10.8,88,2,90,2,100,7/18/2023,,,9,1.8,1.2,12,DA0008-0096-3/8,2.011,178.563,252.098,153.608,,1,2.479,30,192.5,250,254.99,145,180,,,
125,152,589,3,8,500,112.5,38,25,90,8,100,7/19/2023,,,93.75,18.75,12.5,125,DA0008-0097-3/8,2.062,0,252.776,151.193,,1,2.479,30,192.5,250,254.99,145,180,,,
425,128,258,4,8,500,382.5,50,85,90,38,100,7/20/2023,,,318.75,63.75,42.5,425,DA0008-0098-3/8,2.106,0,252.023,150.642,,1,2.479,30,192.5,250,254.99,145,180,,,
511,152,125,3,8,500,459.9,38,102,90,34,100,7/21/2023,,,383.25,76.65,51.1,511,DA0008-0099-3/8,2.101,0,252.577,152.544,,1,2.479,30,192.5,250,254.99,145,180,,,
300,264,425,2,8,500,270,25,60,90,14,100,7/22/2023,,,225,45,30,300,DA0008-0100-3/8,2.191,0,252.23,151.48,,1,2.479,30,192.5,250,254.99,145,180,,,
